"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 08:43:52 GMT 2021","Fri Aug 06 08:44:08 GMT 2021","16765","vizsgaremek","test_nyitolinkek","","","","test_3",""
"broken","Fri Aug 06 08:43:36 GMT 2021","Fri Aug 06 08:43:36 GMT 2021","0","testproject","test_loginok","TestLoginok","","","test_login1",""
"broken","Fri Aug 06 08:43:44 GMT 2021","Fri Aug 06 08:43:44 GMT 2021","0","testproject","test_regteszt2","TestRegteszt2","","","test_regteszt2",""
"passed","Fri Aug 06 08:44:22 GMT 2021","Fri Aug 06 08:44:28 GMT 2021","6807","vizsgaremek","test_signup_rosszak","","","","test_rossz_mezok03",""
"broken","Fri Aug 06 08:43:42 GMT 2021","Fri Aug 06 08:43:42 GMT 2021","0","testproject","test_posztok","TestPosztok","","","test_post2",""
"passed","Fri Aug 06 08:44:08 GMT 2021","Fri Aug 06 08:44:15 GMT 2021","6621","vizsgaremek","test_signup_rosszak","","","","test_rossz_mezok01",""
"broken","Fri Aug 06 08:43:43 GMT 2021","Fri Aug 06 08:43:43 GMT 2021","0","testproject","test_regteszt1","TestRegteszt1","","","test_regteszt1",""
"passed","Fri Aug 06 08:44:15 GMT 2021","Fri Aug 06 08:44:22 GMT 2021","6710","vizsgaremek","test_signup_rosszak","","","","test_rossz_mezok02",""
"passed","Fri Aug 06 08:43:44 GMT 2021","Fri Aug 06 08:43:52 GMT 2021","7413","vizsgaremek","test_nyitolinkek","","","","test_1",""
"broken","Fri Aug 06 08:43:39 GMT 2021","Fri Aug 06 08:43:39 GMT 2021","0","testproject","test_posztok","TestPosztok","","","test_post1",""
"passed","Fri Aug 06 08:44:28 GMT 2021","Fri Aug 06 08:44:35 GMT 2021","6772","vizsgaremek","test_signup_rosszak","","","","test_rossz_mezok04",""
"broken","Fri Aug 06 08:43:39 GMT 2021","Fri Aug 06 08:43:39 GMT 2021","0","testproject","test_loginok","TestLoginok","","","test_login2",""
"passed","Fri Aug 06 08:44:35 GMT 2021","Fri Aug 06 08:44:42 GMT 2021","6776","vizsgaremek","test_signup_rosszak","","","","test_rossz_mezok05",""
